neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58574,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16636
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16636
58882,24499,16635
58892,24488,16634
58928,24454,16632
58956,24425,16632
58983,24394,16635
59012,24367,16633
59033,24348,16631
59056,24323,16633
59095,24287,16630
59122,24260,16630
59140,24240,16631
59169,24207,16635
59179,24197,16635
59221,24157,16633
59242,24132,16636
59282,24089,16637
59307,24065,16636
59335,24035,16638
59368,24002,16638
59377,23996,16635
59422,23949,16637
59435,23934,16638
59465,23899,16641
59487,23874,16644
59504,23856,16645
59533,23828,16644
59560,23800,16645
59584,23777,16644
59602,23756,16646
59615,23742,16647
59624,23731,16647
59652,23701,16649
59680,23669,16652
59705,23640,16656
59715,23628,16655
59735,23605,16657
59776,23559,16660
59781,23556,16658
59810,23522,16661
59824,23510,16659
59854,23479,16660
59868,23461,16664
59893,23434,16666
59906,23420,16666
59926,23400,16666
59952,23373,16667
59968,23354,16670
59992,23329,16671
60010,23316,16666
60029,23299,16664
60057,23272,16663
60074,23256,16662
60086,23244,16662
60110,23220,16662
60108,23220,16664
60118,23205,16667
60121,23200,16669
60135,23185,16670
60142,23171,16677
60173,23139,16678
60180,23132,16678
60187,23124,16678
60204,23106,16678
60210,23098,16680
60246,23062,16679
60253,23054,16679
60282,23020,16683
60302,23002,16681
60330,22969,16686
60326,22971,16688
60359,22939,16686
60356,22944,16684
60368,22931,16685
60369,22929,16685
60384,22916,16683
60381,22914,16688
60394,22903,16686
60407,22888,16688
60407,22881,16695
60410,22873,16699
60422,22858,16701
60410,22868,16703
60415,22859,16706
60421,22849,16709
60432,22831,16716
60432,22829,16717
60439,22816,16723
60440,22814,16724
60440,22811,16727
60431,22821,16726
60423,22826,16729
60435,22808,16735
60429,22811,16737
60449,22793,16735
60436,22804,16737
60447,22793,16737
60429,22803,16744
60436,22793,16747
60443,22784,16749
60442,22781,16753
60441,22780,16755
60450,22771,16754
60443,22773,16759
60454,22756,16764
60457,22752,16765
60458,22746,16770
60454,22745,16773
60460,22739,16773
60444,22753,16775
60440,22752,16780
60421,22774,16777
60427,22764,16781
60408,22779,16784
60412,22774,16785
60388,22795,16788
60408,22775,16788
60389,22790,16790
60369,22812,16787
60357,22822,16789
60344,22830,16794
60348,22825,16795
60325,22842,16801
60303,22860,16805
60284,22879,16803
60270,22890,16806
60258,22898,16810
60246,22912,16806
60214,22940,16810
60205,22944,16815
60178,22972,16814
60164,22983,16816
60149,22995,16818
60145,22995,16822
60141,22998,16822
60132,23000,16829
60101,23025,16834
60080,23045,16835
60068,23051,16841
60034,23084,16841
60017,23101,16841
59985,23128,16845
59963,23144,16851
59943,23161,16854
59921,23178,16859
59880,23218,16860
59865,23228,16863
59818,23272,16865
59806,23279,16870
59775,23305,16874
59738,23337,16879
59729,23345,16880
59685,23386,16883
59676,23389,16889
59648,23411,16895
59614,23441,16899
59580,23468,16905
59569,23477,16907
59545,23492,16916
59513,23518,16921
59477,23547,16927
59442,23574,16934
59403,23609,16936
59374,23636,16938
59330,23674,16944
59311,23689,16948
59272,23722,16954
59243,23744,16960
59218,23764,16965
59163,23814,16969
59131,23842,16972
59083,23882,16980
59056,23903,16985
58998,23953,16993
58985,23960,16999
58915,24026,17002
58881,24054,17008
58837,24095,17011
58815,24114,17014
58756,24173,17014
58707,24217,17019
58667,24249,17027
58621,24291,17031
58566,24344,17033
58526,24381,17036
58487,24419,17036
58428,24469,17045
58399,24501,17042
58337,24554,17051
58291,24594,17057
58227,24654,17061
58165,24709,17068
58111,24755,17076
58044,24817,17081
58005,24855,17082
57946,24913,17083
57873,24983,17086
57828,25017,17097
57743,25094,17105
57703,25126,17111
57628,25191,17121
57571,25238,17131
57538,25268,17134
57485,25314,17141
57414,25382,17143
57376,25413,17149
57305,25480,17153
57266,25514,17157
57211,25562,17164
57149,25613,17175
57075,25683,17179
57021,25723,17193
56965,25776,17196
56893,25841,17203
56811,25917,17209
56739,25984,17214
56664,26050,17221
56584,26123,17228
56508,26188,17239
56418,26266,17251
56344,26332,17258
56282,26388,17264
56209,26452,17273
56110,26544,17279
56049,26599,17285
55960,26684,17287
55905,26736,17290
55818,26811,17302
55734,26890,17307
55653,26960,17318
55606,26998,17327
55492,27110,17328
55430,27165,17335
55332,27259,17339
55240,27342,17348
55160,27414,17355
55083,27491,17355
54985,27583,17361
54907,27655,17367
54803,27754,17371
54713,27844,17371
54629,27918,17381
54564,27974,17390
54453,28073,17402
54397,28121,17409
54283,28232,17412
54203,28301,17423
54110,28386,17431
54039,28452,17435
53939,28543,17444
