POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
411,123,115,66,7,2,99299
407,124,115,67,4,5,99301
403,127,114,68,4,5,99302
392,132,114,69,3,6,99307
389,135,113,70,3,6,99307
381,138,112,71,4,6,99311
377,137,114,68,6,8,99313
367,142,115,68,6,8,99317
364,141,116,67,7,9,99319
360,143,116,68,7,9,99320
359,146,116,68,7,9,99318
357,149,117,67,8,9,99316
352,151,116,67,8,10,99319
353,152,115,68,6,12,99317
352,152,113,69,7,12,99318
353,152,113,67,7,14,99317
346,154,112,67,9,15,99320
336,160,113,66,10,15,99323
334,161,114,65,11,15,99323
333,163,114,64,12,15,99322
330,163,115,64,11,16,99324
330,162,116,62,13,16,99324
320,166,117,62,11,18,99329
314,170,116,63,9,20,99331
312,170,116,62,9,20,99334
308,169,117,62,6,23,99338
307,168,118,61,6,23,99340
304,166,118,61,6,24,99344
301,167,118,60,7,24,99346
296,168,119,60,5,27,99348
294,170,119,60,6,27,99347
298,171,119,60,6,27,99342
300,169,119,58,6,28,99343
301,167,117,59,6,28,99345
299,169,116,59,7,28,99345
300,167,115,60,7,28,99346
295,168,114,60,5,30,99351
295,167,114,60,5,31,99351
292,168,112,62,3,33,99353
290,168,112,62,3,33,99355
288,170,110,61,3,34,99357
284,173,110,59,5,34,99358
278,175,111,57,5,35,99362
277,176,112,57,4,36,99361
273,176,115,57,4,36,99362
272,177,115,56,3,37,99363
263,179,114,56,5,37,99369
265,178,114,57,4,38,99367
265,177,115,58,4,38,99366
264,170,117,58,3,39,99372
262,171,118,57,3,40,99372
262,171,115,59,4,40,99372
265,167,114,61,4,40,99372
259,169,115,61,3,41,99375
257,168,115,59,4,41,99379
256,165,115,58,5,41,99383
255,164,115,58,5,41,99385
252,163,115,58,4,42,99389
253,162,116,58,3,43,99388
252,161,114,60,3,43,99390
252,161,108,64,4,43,99391
250,158,108,64,7,44,99392
248,157,106,64,8,44,99396
246,154,102,64,8,45,99404
245,154,103,64,8,45,99404
244,152,103,63,8,45,99408
242,149,101,59,9,46,99417
241,149,101,59,8,47,99418
240,149,103,59,7,48,99417
240,147,104,59,7,48,99418
232,145,105,60,6,49,99426
233,146,100,61,4,51,99428
231,142,102,60,4,52,99432
229,141,102,60,4,52,99435
222,142,102,59,4,53,99441
219,146,102,58,5,53,99440
213,148,97,58,6,53,99448
215,144,99,57,8,53,99447
210,147,98,58,8,53,99449
210,147,99,57,6,55,99449
209,147,97,58,6,55,99451
208,144,98,58,5,56,99454
210,141,102,58,3,58,99451
210,142,99,61,2,59,99450
208,140,101,61,2,59,99452
208,137,103,61,2,59,99453
212,136,106,60,1,61,99447
213,133,108,60,1,61,99447
215,131,108,61,1,61,99446
217,128,108,61,2,61,99446
210,129,109,61,2,61,99451
210,127,111,59,2,61,99453
207,128,111,59,1,62,99455
208,125,113,59,2,62,99454
208,126,112,59,2,62,99454
209,125,115,59,2,62,99451
208,127,114,59,2,62,99451
207,125,115,59,2,62,99453
201,126,115,60,1,63,99457
203,123,116,61,1,63,99456
203,121,116,61,1,63,99458
202,121,116,61,2,63,99458
201,121,117,61,1,64,99458
199,121,117,60,3,64,99459
201,119,118,60,3,64,99458
201,122,116,61,2,65,99456
199,123,115,61,2,65,99458
200,120,118,61,2,65,99457
198,119,117,62,2,65,99460
197,116,119,62,2,65,99462
200,113,118,65,2,65,99460
201,113,120,63,3,66,99457
203,112,119,62,4,66,99457
207,111,117,62,5,66,99455
212,110,116,62,5,67,99451
208,109,116,63,5,67,99455
209,108,115,62,5,67,99457
209,106,116,61,5,68,99458
208,105,116,60,4,70,99460
207,105,116,60,2,72,99461
211,105,114,58,4,72,99459
214,103,115,57,4,72,99458
215,102,116,57,4,72,99457
221,100,115,57,4,73,99453
221,101,114,57,5,73,99452
223,102,111,60,4,74,99449
224,101,110,62,4,74,99448
224,103,111,62,3,75,99445
228,100,111,61,3,75,99445
230,99,110,61,4,75,99444
