Smokes,Does not smoke
19474,80547
20242,79779
20617,79401
20123,79895
20429,79589
20034,79984
20326,79692
19973,80044
20221,79796
19830,80187
20074,79943
19736,80280
20036,79979
19683,80332
20035,79979
19658,80356
19981,80033
19623,80391
19962,80052
19602,80412
19904,80110
19544,80470
19832,80182
19469,80545
19782,80232
19441,80573
19802,80211
19453,80560
19784,80227
19425,80586
19752,80258
19374,80636
19673,80336
19340,80667
19667,80340
19309,80697
19617,80389
19297,80709
19631,80375
19290,80716
19587,80418
19242,80763
19570,80433
19238,80765
19557,80446
19236,80767
19558,80445
19224,80777
19547,80453
19232,80768
19546,80452
19230,80768
19545,80453
19230,80767
19544,80453
19230,80767
19544,80452
19230,80764
19544,80450
19230,80764
19544,80450
19230,80764
19543,80449
19229,80763
19543,80449
19229,80763
19542,80449
19229,80762
19542,80448
19228,80762
19542,80448
19224,80764
19540,80448
19223,80764
19544,80443
19225,80762
19544,80443
19225,80762
19543,80443
19225,80760
19543,80442
19225,80758
19541,80442
19220,80763
19541,80442
19220,80762
19541,80441
19220,80762
19541,80441
19219,80762
19541,80440
19219,80762
19541,80440
19219,80762
19541,80440
19219,80760
19540,80439
19219,80760
19540,80439
19219,80759
19540,80438
19219,80759
19540,80437
19219,80758
19540,80437
19219,80757
19540,80436
19219,80757
19540,80436
19219,80757
19540,80436
19219,80756
19548,80427
19230,80745
19563,80412
19246,80729
19582,80391
19264,80709
19589,80384
19274,80698
19596,80376
19282,80690
19602,80369
19294,80676
19610,80360
19295,80675
19610,80360
19295,80675
19610,80360
19295,80675
19610,80360
19295,80675
19610,80360
19295,80674
19610,80358
19299,80669
19613,80355
19299,80669
19613,80354
19298,80669
19613,80352
19298,80667
19615,80350
19306,80656
19617,80345
19315,80646
19621,80339
19327,80633
19636,80324
19331,80629
19640,80320
19338,80622
19646,80312
19351,80607
19656,80302
19365,80593
19667,80291
19365,80593
19667,80290
19365,80592
19667,80290
19365,80592
19667,80290
19361,80594
19663,80292
19350,80602
19658,80294
19341,80610
19653,80298
19352,80599
19655,80296
19349,80600
19643,80305
19330,80618
19625,80323
19311,80637
19614,80333
19310,80637
19614,80332
19310,80636
19623,80323
19318,80627
19622,80323
19318,80627
19622,80323
19318,80626
19622,80321
19315,80628
19622,80320
19314,80628
19622,80320
19314,80628
19622,80320
19314,80628
19622,80320
19314,80627
19622,80319
19314,80627
19622,80319
19314,80627
19622,80319
19314,80626
19621,80319
19314,80626
19622,80317
19314,80625
19622,80317
19314,80625
19622,80317
19314,80625
19621,80317
19313,80624
19621,80316
19313,80623
19621,80315
19313,80623
19620,80315
19312,80623
19620,80315
19312,80623
19620,80315
19312,80623
19620,80315
19312,80622
19621,80313
19312,80622
19621,80313
19310,80623
19621,80312
19310,80623
19621,80312
19310,80623
19621,80312
19309,80623
19621,80311
19308,80621
19617,80310
19307,80620
19617,80310
19307,80620
19617,80310
19307,80620
19619,80307
19311,80614
19624,80301
19311,80614
19624,80301
19311,80614
19624,80301
19311,80613
19625,80299
19312,80611
19624,80299
19312,80611
19624,80299
19312,80611
19624,80299
19311,80610
19623,80298
19311,80610
