Type,Value,Days,Delay
Total,Total,49,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,51,NOTICE_SYMPTOMS
Race,WHITE,45,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,48,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,55,NOTICE_SYMPTOMS
Total,Total,38,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,37,INFERRING_ILLNESS
Race,WHITE,39,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,35,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,56,INFERRING_ILLNESS
Total,Total,155,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,149,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,168,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,145,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,225,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,60,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,56,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,69,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,56,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,86,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,32,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,32,DETERMINE_SCREENING_NEED
Race,WHITE,31,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,29,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,49,DETERMINE_SCREENING_NEED
