POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
407,125,115,66,6,3,99301
403,124,114,67,4,5,99306
398,127,112,70,4,5,99307
389,134,113,70,3,6,99308
387,135,112,70,4,6,99309
381,138,111,71,4,6,99312
376,139,111,70,5,8,99314
371,142,111,70,5,8,99316
363,142,113,68,7,9,99321
359,142,113,69,7,9,99324
358,143,113,69,7,9,99324
355,149,114,68,8,9,99320
352,152,114,68,8,9,99320
351,151,113,66,6,12,99324
349,151,113,65,7,12,99326
339,153,110,67,7,13,99334
333,157,109,67,7,15,99335
327,158,108,66,7,15,99342
320,159,109,64,8,15,99348
317,161,110,60,10,15,99350
312,159,112,59,10,16,99355
310,156,114,59,10,16,99358
300,163,113,58,11,16,99362
299,165,111,59,10,17,99362
295,165,111,59,7,20,99366
293,166,111,59,6,21,99367
291,165,113,58,5,22,99369
290,164,114,58,5,22,99370
284,164,115,56,5,24,99375
277,164,113,58,5,25,99381
280,166,113,57,5,25,99377
286,168,110,56,6,26,99371
288,169,109,56,6,26,99369
286,170,108,58,6,26,99369
282,171,108,57,5,27,99373
281,172,106,56,5,27,99376
279,174,106,56,4,28,99376
278,174,106,55,5,28,99377
270,175,107,56,4,29,99382
270,172,108,55,3,30,99385
268,172,108,55,3,30,99387
267,170,108,53,3,31,99391
267,169,104,52,3,32,99396
265,171,105,51,3,32,99396
268,171,105,49,4,33,99393
267,170,106,48,4,33,99395
260,174,103,49,5,33,99399
260,175,103,48,4,33,99400
257,172,105,49,3,34,99403
252,174,105,50,3,34,99405
251,171,106,49,2,36,99408
252,169,102,51,2,36,99411
251,166,105,51,2,36,99412
250,163,104,49,4,36,99417
251,161,102,52,4,36,99417
247,159,100,54,4,36,99423
246,154,100,54,4,36,99429
246,153,101,54,4,36,99429
242,156,103,53,4,37,99428
240,151,104,52,4,38,99434
241,150,104,53,4,38,99433
237,148,104,53,4,39,99438
234,148,99,55,4,39,99444
233,145,97,56,4,39,99449
231,141,98,58,4,39,99452
228,141,99,58,4,39,99454
227,137,102,57,5,39,99456
227,134,99,56,7,39,99461
225,136,99,55,7,40,99461
223,133,99,54,8,40,99466
222,131,100,55,7,41,99467
223,127,102,54,7,41,99469
224,123,100,54,7,41,99474
222,125,98,53,7,42,99476
217,130,96,54,5,43,99478
213,133,94,54,5,44,99480
211,133,95,52,5,44,99483
212,131,96,52,4,45,99483
209,129,96,52,4,45,99488
208,129,97,52,2,46,99489
208,130,96,52,2,46,99489
209,125,97,52,2,46,99492
204,125,98,52,0,48,99496
204,126,97,52,1,48,99495
204,124,98,54,1,48,99494
207,123,99,54,1,48,99491
213,122,100,54,1,48,99485
214,123,99,56,1,48,99482
213,122,100,56,0,49,99483
213,118,103,56,1,49,99483
211,120,101,56,1,49,99485
210,117,102,55,1,49,99489
210,115,104,55,1,49,99489
210,115,101,56,1,49,99491
212,115,101,56,1,49,99489
210,116,102,55,2,49,99489
209,117,102,55,2,49,99489
212,114,104,54,2,49,99488
211,115,102,54,0,51,99490
211,116,104,54,1,51,99486
211,114,105,53,2,51,99487
211,112,105,52,2,51,99490
213,112,106,52,2,51,99487
209,113,106,53,2,51,99489
210,111,106,53,2,51,99490
213,107,110,52,2,51,99488
211,108,110,51,3,51,99489
211,107,110,51,3,51,99490
211,108,110,50,3,52,99489
211,108,111,50,3,52,99488
211,105,110,51,3,52,99491
212,107,110,50,2,54,99488
218,106,110,49,2,54,99484
220,105,110,49,2,54,99483
222,106,107,51,1,55,99481
222,105,107,51,1,55,99482
221,105,107,50,2,55,99483
221,107,105,50,2,55,99483
221,107,105,50,1,56,99483
220,107,105,50,1,56,99484
219,107,106,50,1,56,99484
223,106,105,49,2,56,99482
223,101,107,49,2,56,99485
226,99,107,47,4,56,99484
226,96,108,47,4,56,99486
228,96,105,49,3,57,99485
228,96,103,51,3,57,99485
232,94,102,52,3,57,99483
234,95,101,52,4,57,99480
231,96,100,53,3,58,99482
