neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58574,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16633
58751,24629,16636
58784,24596,16636
58811,24566,16639
58835,24544,16637
58866,24513,16637
58881,24499,16636
58892,24488,16635
58928,24454,16633
58957,24425,16633
58983,24395,16636
59012,24367,16634
59033,24348,16632
59056,24323,16634
59095,24287,16631
59122,24260,16631
59140,24240,16633
59169,24207,16637
59179,24197,16637
59221,24157,16635
59242,24132,16638
59282,24091,16639
59307,24066,16638
59335,24035,16640
59368,24002,16640
59377,23996,16637
59421,23949,16639
59435,23934,16640
59466,23899,16642
59487,23874,16644
59504,23856,16645
59533,23828,16644
59560,23800,16645
59584,23777,16644
59602,23756,16647
59615,23741,16648
59624,23731,16649
59652,23701,16651
59680,23669,16655
59705,23640,16659
59718,23628,16658
59735,23605,16660
59777,23560,16663
59782,23557,16661
59811,23523,16664
59825,23511,16662
59855,23480,16663
59869,23461,16667
59894,23434,16669
59907,23421,16669
59926,23401,16669
59952,23374,16670
59967,23354,16673
59990,23329,16673
60008,23316,16668
60027,23299,16666
60055,23272,16665
60071,23257,16664
60084,23244,16664
60108,23220,16664
60106,23220,16666
60116,23205,16669
60118,23201,16671
60133,23185,16672
60140,23171,16679
60171,23139,16680
60178,23132,16680
60183,23125,16680
60201,23107,16680
60206,23098,16681
60242,23062,16681
60250,23053,16680
60280,23019,16684
60299,23002,16682
60328,22968,16687
60323,22971,16689
60357,22939,16687
60354,22944,16685
60366,22931,16686
60368,22928,16686
60382,22916,16684
60380,22913,16688
60393,22900,16687
60406,22885,16689
60406,22878,16696
60410,22870,16700
60422,22855,16701
60410,22865,16703
60415,22856,16706
60421,22846,16707
60432,22828,16714
60431,22827,16716
60438,22814,16722
60439,22812,16723
60439,22809,16726
60430,22819,16725
60420,22825,16728
60433,22806,16734
60426,22811,16736
60448,22791,16734
60433,22804,16735
60445,22792,16735
60426,22803,16743
60435,22791,16746
60440,22784,16748
60441,22779,16752
60439,22778,16754
60446,22772,16753
60441,22772,16758
60451,22757,16763
60453,22754,16764
60453,22748,16767
60453,22744,16771
60456,22740,16771
60442,22752,16773
60438,22751,16778
60418,22774,16775
60425,22763,16779
60405,22779,16782
60410,22773,16783
60385,22794,16787
60406,22773,16787
60386,22790,16790
60368,22810,16787
60354,22822,16789
60341,22830,16794
60346,22824,16795
60324,22840,16801
60301,22859,16805
60281,22880,16803
60269,22889,16806
60254,22899,16810
60243,22912,16807
60211,22940,16811
60203,22943,16816
60176,22971,16814
60162,22982,16817
60146,22996,16818
60144,22994,16822
60140,22997,16823
60133,22997,16830
60099,23026,16835
60080,23042,16837
60066,23050,16843
60034,23082,16843
60016,23100,16843
59984,23127,16848
59963,23142,16854
59942,23160,16857
59920,23176,16861
59880,23215,16862
59865,23227,16865
59818,23272,16867
59808,23277,16872
59777,23303,16877
59740,23335,16882
59731,23343,16881
59687,23383,16884
59678,23386,16890
59649,23409,16896
59616,23437,16900
59581,23466,16906
59571,23474,16907
59546,23490,16916
59513,23518,16921
59482,23543,16926
59446,23572,16933
59408,23608,16935
59379,23634,16937
59334,23673,16943
59315,23687,16947
59276,23720,16953
59244,23745,16960
59219,23764,16965
59167,23812,16969
59133,23843,16972
59084,23883,16981
59060,23902,16986
59001,23953,16994
58986,23962,17000
58918,24025,17004
58882,24055,17010
58841,24093,17013
58818,24113,17016
58757,24173,17016
58712,24213,17021
58667,24249,17029
58626,24286,17033
58570,24340,17035
58531,24376,17038
58491,24414,17038
58431,24465,17047
58403,24496,17044
58341,24549,17053
58295,24589,17059
58230,24650,17063
58169,24704,17070
58115,24750,17078
58045,24814,17083
58005,24853,17084
57947,24910,17085
57872,24982,17088
57828,25015,17099
57742,25093,17107
57704,25125,17113
57630,25188,17123
57575,25233,17133
57542,25262,17136
57487,25310,17143
57423,25372,17145
57383,25406,17151
57310,25475,17155
57273,25507,17160
57216,25557,17167
57155,25607,17178
57081,25677,17182
57026,25718,17196
56971,25770,17199
56901,25833,17206
56815,25912,17212
56745,25976,17217
56669,26045,17224
56586,26121,17231
56516,26181,17241
56422,26263,17253
56347,26329,17261
56289,26381,17267
56212,26449,17276
56117,26538,17282
56055,26594,17288
55967,26677,17291
55910,26730,17293
55821,26806,17305
55742,26880,17310
55661,26950,17321
55607,26994,17330
55499,27101,17331
55432,27161,17338
55333,27256,17342
55243,27336,17352
55160,27412,17359
55089,27483,17359
54990,27576,17365
54911,27649,17371
54803,27753,17375
54718,27838,17375
54637,27908,17385
54566,27970,17394
54458,28065,17406
54399,28117,17413
54285,28228,17415
54204,28298,17426
54107,28387,17434
54041,28448,17438
53938,28542,17447
