Smokes,Does not smoke
19474,80547
20242,79779
20617,79401
20123,79895
20429,79589
20034,79984
20326,79692
19973,80044
20221,79796
19830,80186
20073,79943
19736,80279
20035,79979
19683,80331
20034,79979
19658,80355
19980,80033
19623,80390
19961,80051
19604,80408
19903,80109
19546,80466
19831,80181
19471,80541
19781,80231
19443,80569
19801,80210
19455,80556
19783,80226
19427,80582
19749,80260
19377,80632
19670,80338
19343,80664
19668,80339
19324,80682
19631,80375
19315,80691
19659,80347
19341,80665
19657,80347
19307,80697
19619,80385
19276,80728
19591,80413
19276,80728
19583,80421
19256,80747
19575,80427
19263,80739
19572,80428
19266,80734
19573,80427
19254,80744
19563,80434
19253,80744
19563,80434
19253,80740
19562,80431
19253,80740
19562,80431
19253,80740
19562,80430
19252,80740
19562,80430
19252,80740
19562,80430
19252,80740
19562,80429
19251,80740
19562,80429
19251,80740
19562,80429
19251,80739
19562,80428
19251,80739
19562,80427
19250,80739
19561,80427
19250,80737
19563,80424
19249,80735
19561,80423
19244,80740
19561,80422
19245,80735
19562,80418
19245,80735
19562,80418
19244,80735
19562,80417
19244,80735
19562,80417
19244,80735
19562,80417
19244,80734
19561,80417
19244,80734
19561,80417
19243,80733
19558,80416
19241,80733
19555,80418
19240,80733
19555,80418
19240,80733
19555,80418
19240,80732
19554,80417
19239,80732
19554,80417
19241,80729
19554,80416
19241,80729
19554,80416
19241,80729
19553,80416
19241,80728
19553,80416
19241,80727
19552,80416
19241,80727
19552,80415
19240,80725
19551,80414
19240,80724
19551,80413
19240,80724
19551,80412
19240,80723
19551,80412
19240,80723
19551,80412
19240,80722
19549,80412
19239,80722
19553,80407
19241,80719
19552,80406
19239,80719
19553,80404
19240,80716
19555,80401
19248,80708
19559,80397
19257,80698
19561,80393
19264,80690
19575,80379
19266,80688
19580,80374
19268,80686
19576,80375
19262,80689
19568,80383
19256,80695
19563,80388
19253,80698
19560,80389
19252,80697
19560,80388
19252,80696
19560,80388
19248,80699
19556,80391
19238,80707
19553,80392
19230,80714
19538,80406
19229,80714
19534,80409
19227,80715
19531,80409
19225,80715
19530,80409
19226,80713
19530,80409
19226,80713
19530,80408
19225,80713
19530,80408
19225,80713
19530,80408
19224,80713
19529,80408
19223,80714
19527,80409
19223,80713
19527,80409
19223,80712
19527,80408
19223,80712
19527,80408
19223,80712
19527,80408
19223,80710
19527,80406
19223,80709
19527,80405
19223,80709
19527,80405
19223,80709
19527,80405
19223,80709
19527,80404
19223,80708
19527,80404
19223,80708
19527,80404
19223,80708
19526,80403
19226,80703
19529,80400
19230,80699
19532,80397
19230,80698
19531,80397
19230,80698
19531,80396
19230,80697
19531,80395
19230,80696
19531,80395
19230,80696
19531,80395
19230,80695
19530,80395
19230,80694
19529,80393
19229,80693
19529,80393
19229,80693
19529,80393
19228,80693
19529,80392
19227,80692
19527,80392
19227,80692
19527,80392
19227,80692
19527,80392
19226,80692
19525,80393
19224,80694
19522,80396
19216,80702
19520,80398
19213,80705
19519,80399
19213,80705
19519,80399
19213,80704
19527,80389
19223,80693
19542,80374
19238,80678
19558,80358
19251,80663
19559,80355
19251,80663
