Type,Value,Days,Delay
Total,Total,44,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,43,NOTICE_SYMPTOMS
Race,WHITE,48,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,45,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,38,NOTICE_SYMPTOMS
Total,Total,41,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,42,INFERRING_ILLNESS
Race,WHITE,38,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,36,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,70,INFERRING_ILLNESS
Total,Total,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,151,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,100,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,133,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,165,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,44,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,42,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,49,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,41,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,65,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,26,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,26,DETERMINE_SCREENING_NEED
Race,WHITE,26,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,24,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,42,DETERMINE_SCREENING_NEED
