POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
409,125,115,67,6,3,99298
407,124,115,67,4,5,99301
398,129,113,69,3,6,99305
396,131,114,69,3,6,99304
389,136,113,70,3,6,99306
385,138,112,71,4,6,99307
383,138,113,70,5,7,99307
380,140,114,69,6,8,99306
373,144,115,68,6,9,99308
363,147,115,69,7,9,99313
361,149,115,68,8,9,99313
359,149,115,68,8,9,99315
359,153,114,67,9,9,99312
352,155,115,67,6,12,99316
351,157,113,67,8,12,99315
347,157,114,66,7,14,99318
340,160,111,68,7,15,99322
333,163,111,66,9,15,99326
325,163,112,65,10,15,99333
320,166,111,64,11,15,99336
320,164,113,63,11,16,99336
318,164,114,63,11,16,99337
305,171,115,63,12,16,99341
302,172,114,64,7,20,99344
299,171,115,64,5,22,99347
294,172,115,63,4,23,99352
294,172,115,63,4,23,99352
291,170,118,63,4,23,99354
285,169,117,62,6,23,99361
278,169,120,61,6,24,99365
276,174,118,62,7,25,99361
280,172,119,62,7,25,99358
280,171,118,62,7,26,99359
281,173,117,60,8,26,99358
282,172,113,62,8,26,99360
280,170,113,61,7,27,99365
277,172,114,60,7,28,99365
278,171,113,61,5,30,99365
279,172,113,61,4,31,99363
274,171,113,63,4,31,99367
273,171,111,61,2,33,99372
270,173,113,59,4,33,99371
268,172,114,58,4,34,99373
267,174,113,58,4,34,99373
267,173,113,57,4,34,99375
266,173,115,57,3,35,99374
257,179,115,54,4,36,99378
257,179,114,55,4,36,99378
253,175,116,58,4,36,99381
249,177,116,56,3,37,99385
250,176,114,56,3,38,99386
252,173,113,57,3,38,99387
251,175,112,58,4,38,99385
250,173,113,58,3,39,99387
249,169,114,57,4,39,99391
248,167,115,56,5,39,99393
246,159,115,57,5,39,99402
247,159,115,57,5,39,99401
249,157,114,56,3,41,99403
245,153,117,56,3,41,99408
244,152,113,56,5,41,99412
244,148,112,55,8,42,99414
243,149,111,55,9,42,99414
241,150,108,57,9,42,99416
242,148,108,55,9,43,99418
238,149,108,55,9,43,99421
238,150,107,54,8,45,99421
237,152,107,54,8,45,99420
238,150,111,54,7,46,99417
236,148,114,52,7,47,99419
230,146,115,53,6,48,99425
232,146,112,54,4,49,99426
229,144,110,54,5,50,99431
229,144,110,54,5,50,99431
223,147,108,55,5,51,99434
220,149,107,55,5,51,99436
214,149,102,57,6,51,99444
217,148,102,56,8,51,99441
216,146,102,56,9,51,99443
216,145,100,56,7,53,99446
215,143,99,56,7,53,99450
215,136,102,57,6,54,99453
217,135,102,58,4,56,99451
218,134,101,58,5,56,99451
216,136,100,59,5,56,99451
219,135,99,59,2,59,99450
223,133,102,57,2,60,99446
222,134,102,57,2,60,99446
224,133,103,57,2,60,99444
225,131,101,59,2,61,99444
223,126,105,59,2,61,99447
219,125,106,58,2,62,99451
219,122,107,57,2,62,99454
221,119,108,57,2,62,99454
222,116,110,57,2,62,99454
219,116,111,56,3,62,99456
222,116,109,57,3,62,99454
217,115,110,57,3,62,99459
214,116,111,57,2,63,99460
214,117,111,58,2,63,99458
214,115,113,58,2,63,99458
217,116,112,58,2,63,99455
217,116,110,59,2,63,99456
215,118,111,58,3,64,99454
214,118,110,58,3,64,99456
216,115,109,58,3,64,99458
216,112,110,59,2,65,99459
216,110,112,59,2,65,99459
218,110,110,60,2,65,99458
219,109,110,60,2,65,99458
220,108,112,61,2,65,99455
220,108,112,61,2,65,99455
225,107,112,60,2,66,99451
230,105,112,59,4,66,99447
228,107,111,58,5,67,99447
229,106,111,59,5,67,99446
231,104,113,57,5,67,99446
231,101,112,56,3,69,99451
230,103,112,53,5,70,99450
230,100,111,50,7,70,99455
232,100,111,50,6,71,99453
238,99,110,51,6,71,99448
237,98,111,51,6,71,99449
241,97,110,51,4,74,99446
243,96,109,52,4,74,99445
245,97,108,53,4,74,99442
244,100,106,55,4,74,99440
245,102,106,54,2,76,99438
246,101,107,53,2,77,99437
245,103,105,55,2,77,99436
