Smokes,Does not smoke
19474,80547
20242,79778
20617,79401
20123,79895
20429,79589
20034,79984
20326,79692
19971,80045
20218,79798
19828,80188
20073,79943
19737,80279
20035,79980
19681,80333
20033,79981
19655,80359
19970,80044
19608,80405
19955,80058
19595,80417
19895,80117
19539,80473
19828,80184
19464,80548
19768,80244
19422,80589
19781,80229
19433,80577
19768,80239
19417,80590
19738,80268
19369,80636
19664,80339
19331,80672
19662,80341
19312,80691
19623,80380
19303,80700
19654,80349
19329,80674
19652,80350
19295,80707
19611,80391
19264,80738
19583,80419
19266,80734
19582,80417
19252,80747
19578,80420
19249,80748
19575,80422
19254,80743
19577,80420
19242,80754
19569,80427
19240,80754
19568,80425
19240,80753
19568,80425
19240,80752
19568,80424
19240,80752
19568,80424
19240,80752
19568,80424
19240,80752
19568,80424
19240,80752
19568,80423
19239,80752
19568,80423
19239,80752
19567,80422
19239,80750
19567,80422
19239,80750
19567,80422
19239,80749
19566,80422
19239,80749
19566,80422
19239,80748
19565,80422
19234,80753
19565,80422
19234,80753
19565,80421
19234,80752
19565,80421
19234,80752
19564,80421
19234,80751
19564,80421
19234,80751
19563,80420
19238,80745
19567,80416
19242,80741
19570,80412
19241,80740
19570,80411
19241,80740
19570,80411
19241,80740
19570,80411
19241,80740
19570,80410
19241,80739
19570,80410
19241,80738
19569,80410
19241,80738
19569,80410
19241,80738
19569,80410
19241,80738
19569,80410
19241,80736
19568,80409
19241,80736
19568,80409
19240,80736
19567,80409
19237,80739
19566,80410
19237,80739
19568,80407
19237,80738
19570,80405
19246,80728
19580,80394
19257,80717
19595,80379
19279,80695
19614,80359
19295,80678
19626,80347
19305,80668
19635,80338
19319,80654
19644,80326
19312,80658
19638,80332
19303,80666
19624,80344
19282,80685
19601,80366
19264,80703
19578,80389
19246,80719
19555,80410
19228,80736
19543,80421
19218,80746
19534,80430
19204,80760
19526,80438
19203,80761
19526,80438
19203,80760
19526,80436
19202,80760
19526,80436
19202,80760
19526,80436
19203,80758
19525,80436
19199,80761
19512,80448
19183,80777
19494,80465
19164,80795
19479,80478
19159,80797
19477,80479
19171,80785
19499,80457
19190,80766
19474,80482
19152,80804
19470,80486
19168,80788
19484,80471
19176,80779
19502,80453
19194,80761
19483,80471
19164,80790
19478,80476
19167,80787
19484,80470
19175,80779
19502,80452
19193,80761
19483,80471
19164,80789
19478,80475
19167,80784
19483,80468
19175,80776
19501,80450
19193,80758
19482,80469
19164,80787
19477,80474
19167,80783
19482,80467
19174,80775
19501,80447
19192,80756
19482,80466
19163,80785
19477,80471
19166,80782
19483,80465
19174,80774
19501,80447
19192,80756
19482,80466
19163,80785
19477,80471
19166,80782
19483,80465
19174,80774
19501,80447
19192,80756
19482,80466
19161,80785
19477,80469
19164,80782
19483,80463
19172,80774
19501,80445
19188,80758
19482,80463
19161,80784
19477,80467
19163,80781
19483,80460
19174,80769
19501,80442
19190,80753
19482,80460
19162,80780
19477,80465
19165,80777
19483,80459
19173,80768
19501,80440
19189,80752
19482,80459
19162,80779
19478,80461
19165,80774
19484,80455
19173,80766
19502,80437
19188,80750
19481,80457
19159,80778
