neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58575,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16637
58784,24596,16636
58811,24566,16639
58835,24544,16637
58866,24513,16636
58881,24499,16635
58892,24488,16634
58928,24454,16632
58956,24425,16632
58983,24395,16635
59012,24367,16633
59033,24348,16631
59056,24323,16633
59095,24287,16629
59122,24260,16629
59140,24240,16631
59169,24207,16635
59179,24197,16635
59221,24157,16633
59242,24132,16636
59282,24091,16637
59307,24066,16636
59335,24035,16638
59368,24002,16638
59377,23996,16634
59421,23948,16636
59434,23933,16637
59466,23898,16640
59488,23873,16643
59505,23855,16644
59534,23827,16643
59561,23799,16644
59585,23776,16643
59603,23755,16646
59616,23740,16647
59625,23730,16648
59653,23700,16649
59681,23668,16653
59706,23639,16657
59719,23627,16656
59737,23604,16658
59779,23559,16661
59783,23556,16659
59812,23523,16662
59826,23511,16660
59856,23478,16661
59870,23460,16665
59895,23433,16667
59907,23420,16667
59927,23400,16667
59953,23372,16668
59967,23353,16671
59991,23328,16672
60009,23315,16666
60028,23298,16664
60056,23271,16663
60071,23256,16662
60084,23243,16662
60108,23219,16662
60106,23219,16664
60118,23204,16667
60120,23200,16669
60135,23184,16670
60142,23170,16677
60173,23137,16678
60180,23130,16678
60187,23123,16678
60205,23105,16678
60210,23097,16680
60245,23061,16680
60253,23053,16680
60282,23020,16684
60302,23002,16682
60330,22967,16687
60326,22968,16689
60360,22936,16687
60357,22941,16685
60368,22928,16685
60369,22926,16686
60383,22914,16683
60380,22912,16688
60393,22901,16686
60406,22886,16688
60406,22879,16695
60409,22871,16699
60421,22856,16702
60408,22866,16704
60414,22857,16707
60421,22847,16709
60432,22829,16716
60432,22827,16718
60439,22814,16724
60440,22811,16725
60439,22808,16728
60430,22818,16727
60422,22823,16730
60434,22805,16734
60428,22809,16736
60449,22790,16734
60435,22802,16736
60446,22791,16736
60428,22801,16744
60434,22791,16747
60441,22782,16749
60440,22779,16753
60440,22777,16755
60448,22770,16754
60442,22771,16759
60453,22755,16764
60454,22753,16765
60455,22746,16770
60453,22744,16774
60459,22738,16774
60443,22752,16776
60439,22751,16780
60419,22774,16777
60425,22764,16781
60407,22779,16784
60411,22774,16784
60387,22795,16787
60407,22775,16787
60388,22791,16790
60367,22814,16788
60353,22825,16790
60341,22832,16795
60346,22826,16796
60325,22841,16802
60301,22860,16806
60282,22881,16804
60268,22892,16807
60256,22900,16811
60243,22915,16807
60211,22942,16811
60203,22945,16816
60174,22974,16814
60161,22984,16817
60145,22998,16819
60142,22997,16823
60138,23000,16823
60131,23000,16830
60099,23027,16834
60078,23045,16836
60064,23053,16842
60031,23086,16842
60014,23103,16842
59982,23130,16847
59958,23146,16853
59938,23162,16855
59917,23178,16860
59876,23218,16861
59862,23229,16864
59817,23272,16866
59805,23279,16870
59774,23305,16875
59737,23336,16880
59727,23345,16881
59685,23384,16884
59673,23388,16890
59645,23410,16895
59611,23439,16899
59576,23468,16905
59566,23476,16907
59543,23490,16916
59508,23520,16921
59476,23545,16927
59441,23573,16934
59405,23607,16936
59374,23634,16937
59330,23672,16943
59312,23686,16947
59273,23719,16953
59243,23742,16960
59217,23763,16965
59165,23811,16969
59129,23843,16973
59080,23884,16981
59056,23903,16986
58998,23953,16994
58983,23962,16999
58917,24024,17003
58879,24056,17009
58838,24094,17012
58815,24114,17015
58753,24175,17016
58705,24218,17021
58663,24252,17029
58620,24291,17033
58563,24346,17035
58523,24383,17038
58486,24420,17038
58428,24468,17047
58394,24505,17044
58336,24554,17053
58290,24594,17059
58225,24655,17063
58161,24711,17071
58110,24754,17079
58038,24822,17083
58002,24857,17084
57941,24917,17085
57869,24986,17088
57825,25019,17099
57738,25098,17107
57703,25126,17113
57626,25193,17123
57571,25238,17133
57538,25268,17136
57482,25317,17143
57415,25382,17145
57377,25414,17151
57305,25480,17155
57266,25513,17161
57213,25559,17168
57148,25613,17179
57074,25682,17183
57022,25720,17197
56965,25773,17200
56892,25839,17207
56810,25915,17213
56737,25983,17218
56662,26051,17225
56581,26125,17232
56508,26187,17243
56417,26266,17255
56341,26335,17262
56284,26386,17268
56209,26452,17277
56111,26544,17283
56052,26597,17289
55962,26683,17290
55907,26733,17292
55821,26807,17304
55737,26886,17309
55658,26954,17320
55605,26998,17329
55497,27105,17330
55433,27162,17337
55335,27256,17341
55242,27339,17351
55162,27412,17358
55088,27485,17358
54986,27581,17364
54911,27650,17370
54801,27755,17375
54717,27839,17375
54634,27912,17385
54566,27971,17394
54456,28070,17405
54396,28123,17412
54287,28229,17415
54204,28301,17426
54107,28390,17434
54039,28452,17439
53936,28545,17448
