POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
411,123,115,66,7,2,99299
405,122,115,68,4,5,99304
401,125,113,68,4,5,99307
391,130,111,69,3,6,99313
388,132,111,70,3,6,99313
383,134,111,70,4,6,99315
382,134,112,67,6,8,99314
372,142,111,67,6,8,99317
370,141,112,65,7,9,99319
364,142,112,66,7,9,99323
361,145,112,66,7,9,99323
361,145,113,64,8,9,99323
353,149,113,64,8,10,99326
352,149,113,65,6,12,99326
352,150,111,65,7,12,99326
349,148,109,64,8,13,99332
339,150,108,64,9,15,99338
330,155,109,62,10,15,99342
326,155,110,61,10,15,99346
324,155,110,61,10,15,99348
323,155,109,60,10,15,99351
322,155,110,59,11,15,99351
315,160,110,59,10,17,99352
311,161,109,60,8,19,99355
310,161,109,59,8,19,99357
308,161,108,55,5,22,99364
306,162,107,55,5,22,99366
303,159,109,55,5,23,99369
300,160,109,54,5,24,99371
293,163,111,53,5,25,99373
292,163,109,52,7,25,99375
294,164,109,51,7,25,99373
296,165,107,51,7,26,99371
296,165,107,50,7,26,99372
297,166,103,50,7,26,99374
297,162,103,51,7,26,99377
291,164,102,49,5,28,99384
290,166,101,49,6,28,99383
290,167,97,52,4,30,99383
289,165,98,52,4,30,99385
284,169,96,51,3,32,99388
277,172,96,49,5,32,99392
274,175,97,48,5,33,99391
274,177,98,48,4,34,99388
274,178,99,48,4,34,99386
270,179,98,48,3,35,99390
261,182,99,48,5,35,99393
262,180,99,49,4,36,99393
262,179,100,49,4,36,99393
259,178,101,50,3,37,99395
256,178,101,49,3,38,99398
258,179,98,50,4,38,99396
259,175,97,50,4,38,99400
256,176,98,50,3,39,99401
253,178,98,49,4,39,99402
249,176,100,49,4,39,99406
249,175,101,48,4,39,99407
247,171,103,48,3,40,99411
247,170,102,48,2,41,99413
246,165,103,48,2,41,99418
242,165,99,52,3,41,99421
238,164,98,51,6,42,99424
236,165,96,51,7,42,99426
235,163,94,51,8,42,99430
235,161,95,51,8,42,99431
232,161,97,50,9,42,99432
230,156,95,46,10,44,99442
232,156,95,46,9,45,99440
230,159,96,46,7,46,99439
229,154,100,45,7,46,99442
224,150,101,44,7,47,99450
225,152,99,46,6,48,99447
219,146,101,47,5,49,99456
218,145,101,47,5,49,99458
214,145,96,48,2,52,99466
212,147,96,49,2,52,99465
207,147,93,50,3,52,99471
210,143,94,49,5,52,99470
208,144,92,48,5,52,99474
208,144,93,49,4,53,99472
208,143,92,49,4,53,99474
208,142,93,49,4,53,99474
209,142,91,49,2,55,99475
209,139,89,52,3,55,99476
209,136,92,50,3,55,99478
209,134,94,49,3,55,99479
214,130,96,46,3,58,99476
212,130,95,46,3,58,99479
212,129,93,46,4,58,99481
214,126,94,46,4,58,99481
207,124,96,47,3,59,99487
206,122,96,47,3,59,99490
205,120,97,47,2,60,99492
207,115,101,45,3,60,99492
208,113,101,45,2,61,99493
209,113,101,45,2,61,99492
208,115,100,45,2,61,99492
208,114,98,45,2,61,99495
203,113,98,47,1,62,99499
204,111,100,46,2,62,99498
204,110,100,46,2,62,99499
204,110,101,45,4,62,99497
201,109,100,46,3,63,99501
199,110,99,46,3,64,99502
201,109,99,46,3,64,99501
201,106,101,46,1,66,99502
200,104,102,46,1,66,99504
201,98,102,46,1,66,99509
199,100,101,47,1,66,99509
199,98,101,48,1,66,99510
205,93,103,49,1,66,99506
206,94,101,49,0,67,99506
205,93,101,49,1,67,99507
208,92,102,49,1,67,99504
213,92,102,48,1,67,99500
211,93,102,49,1,67,99500
212,91,102,48,1,67,99502
212,88,102,47,1,68,99505
211,87,101,46,1,68,99509
211,87,101,46,1,68,99509
213,87,100,45,2,68,99508
214,88,98,47,2,68,99506
215,86,99,47,2,68,99506
218,85,100,47,1,69,99503
220,85,98,48,1,69,99502
221,86,96,49,0,70,99501
221,87,96,49,0,70,99500
220,89,95,48,0,70,99501
221,83,96,48,1,70,99504
222,84,93,46,3,70,99505
