neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58574,24814,16631
58625,24763,16629
58666,24721,16630
58695,24690,16631
58717,24668,16631
58752,24629,16635
58785,24596,16634
58812,24566,16637
58836,24544,16635
58867,24513,16635
58882,24499,16634
58893,24488,16634
58929,24454,16631
58957,24425,16631
58984,24393,16634
59013,24366,16632
59034,24347,16630
59057,24322,16632
59096,24286,16629
59123,24259,16629
59141,24239,16631
59170,24206,16635
59180,24195,16635
59222,24155,16633
59244,24130,16636
59283,24087,16637
59308,24063,16636
59336,24033,16638
59369,24000,16638
59377,23994,16635
59421,23946,16637
59434,23931,16637
59466,23896,16640
59488,23871,16643
59505,23853,16644
59534,23825,16643
59561,23797,16644
59585,23774,16643
59603,23752,16645
59616,23738,16646
59625,23728,16646
59653,23698,16648
59681,23666,16651
59706,23637,16655
59718,23625,16654
59738,23602,16656
59777,23557,16659
59782,23553,16657
59810,23520,16660
59824,23508,16658
59854,23477,16659
59868,23459,16663
59893,23432,16665
59905,23418,16665
59925,23398,16665
59950,23371,16666
59966,23352,16669
59990,23327,16670
60008,23313,16665
60027,23296,16663
60055,23269,16662
60072,23253,16661
60084,23241,16661
60106,23217,16661
60104,23217,16663
60116,23202,16666
60118,23198,16668
60133,23182,16669
60140,23168,16676
60172,23135,16676
60178,23129,16676
60186,23121,16676
60204,23102,16676
60208,23094,16678
60244,23058,16678
60252,23050,16678
60281,23016,16682
60301,22998,16680
60329,22965,16685
60325,22967,16687
60358,22935,16685
60356,22939,16683
60366,22927,16684
60368,22924,16685
60382,22912,16682
60380,22909,16687
60393,22898,16685
60405,22883,16687
60405,22876,16694
60408,22868,16698
60420,22853,16701
60408,22863,16703
60413,22854,16705
60420,22844,16708
60431,22826,16715
60430,22825,16717
60437,22812,16723
60438,22810,16724
60438,22807,16727
60429,22817,16726
60419,22823,16729
60432,22804,16735
60425,22809,16736
60445,22789,16734
60430,22802,16736
60442,22789,16735
60423,22800,16743
60430,22789,16746
60436,22781,16748
60436,22776,16752
60435,22775,16754
60443,22768,16753
60437,22769,16758
60448,22753,16763
60450,22750,16763
60451,22744,16767
60449,22741,16771
60454,22736,16771
60439,22749,16773
60434,22749,16778
60416,22770,16775
60421,22761,16779
60403,22776,16782
60407,22771,16782
60384,22791,16785
60401,22773,16785
60385,22786,16788
60364,22809,16785
60352,22819,16787
60341,22825,16792
60344,22821,16793
60323,22836,16799
60300,22855,16803
60281,22875,16801
60267,22884,16804
60253,22893,16808
60241,22908,16805
60211,22934,16809
60202,22938,16813
60173,22968,16811
60159,22978,16814
60145,22989,16815
60139,22991,16819
60135,22994,16818
60128,22993,16825
60097,23019,16830
60073,23040,16832
60061,23046,16837
60028,23078,16837
60011,23095,16837
59978,23123,16841
59956,23139,16847
59937,23155,16850
59912,23174,16853
59873,23211,16854
59857,23224,16857
59809,23270,16859
59799,23275,16864
59769,23299,16868
59732,23331,16873
59720,23341,16874
59678,23380,16877
59668,23384,16883
59639,23407,16888
59606,23436,16892
59572,23464,16898
59563,23470,16899
59537,23485,16908
59504,23513,16913
59473,23537,16920
59435,23569,16926
59401,23601,16927
59369,23631,16929
59324,23670,16935
59309,23681,16939
59267,23717,16945
59238,23739,16951
59214,23758,16956
59157,23808,16960
59123,23839,16963
59074,23878,16972
59051,23895,16977
58992,23946,16985
58978,23954,16991
58913,24015,16995
58871,24050,17000
58831,24087,17003
58812,24103,17006
58749,24165,17007
58702,24207,17012
58657,24244,17019
58618,24279,17023
58561,24334,17025
58520,24372,17028
58483,24409,17028
58423,24459,17037
58394,24491,17034
58333,24543,17043
58287,24583,17049
58223,24643,17053
58161,24697,17061
58110,24740,17069
58042,24805,17072
58001,24844,17072
57941,24902,17074
57870,24969,17077
57822,25006,17088
57736,25084,17096
57700,25114,17101
57621,25183,17111
57567,25227,17121
57533,25257,17124
57481,25302,17131
57413,25367,17133
57371,25403,17139
57304,25466,17143
57263,25501,17148
57210,25547,17155
57144,25602,17166
57072,25670,17170
57021,25707,17184
56964,25761,17187
56891,25827,17194
56812,25899,17200
56737,25969,17205
56662,26037,17212
56581,26111,17218
56508,26173,17229
56417,26252,17241
56342,26320,17248
56282,26374,17254
56207,26440,17262
56110,26531,17268
56053,26581,17274
55960,26670,17277
55908,26719,17280
55816,26797,17292
55737,26871,17297
55651,26945,17308
55605,26982,17317
55497,27089,17318
55431,27147,17325
55330,27244,17329
55242,27323,17338
55158,27399,17345
55088,27469,17345
54993,27558,17351
54906,27639,17357
54807,27734,17361
54717,27824,17361
54642,27887,17371
54564,27955,17380
54460,28047,17392
54395,28105,17399
54285,28211,17402
54202,28283,17413
54111,28366,17421
54039,28433,17426
53938,28525,17435
