Smokes,Does not smoke
19474,80547
20242,79778
20617,79401
20123,79895
20429,79589
20034,79984
20326,79692
19971,80046
20218,79799
19828,80189
20073,79944
19737,80280
20035,79981
19681,80334
20033,79982
19655,80359
19970,80044
19608,80405
19955,80058
19596,80416
19894,80118
19540,80471
19831,80180
19465,80546
19771,80240
19423,80586
19785,80223
19436,80572
19781,80226
19429,80578
19755,80252
19392,80615
19684,80321
19359,80646
19683,80322
19340,80665
19647,80358
19331,80674
19675,80330
19357,80648
19673,80331
19323,80681
19635,80369
19292,80712
19607,80397
19294,80706
19611,80388
19285,80714
19615,80382
19285,80709
19612,80382
19290,80702
19614,80378
19278,80713
19606,80385
19276,80713
19605,80382
19276,80711
19605,80382
19276,80711
19605,80382
19276,80710
19605,80381
19274,80711
19605,80380
19274,80711
19605,80379
19273,80711
19605,80379
19273,80711
19605,80379
19273,80711
19607,80374
19269,80710
19606,80373
19268,80710
19606,80370
19271,80705
19613,80363
19273,80702
19615,80360
19269,80704
19600,80373
19233,80740
19570,80403
19204,80769
19543,80429
19171,80801
19513,80458
19132,80839
19451,80520
19054,80916
19400,80570
19029,80941
19374,80595
19009,80960
19365,80604
19007,80962
19363,80606
19005,80963
19363,80605
19005,80963
19363,80605
19005,80963
19363,80605
19005,80963
19363,80604
19005,80962
19363,80603
19015,80951
19382,80584
19037,80929
19406,80560
19061,80905
19430,80536
19093,80873
19466,80499
19104,80860
19482,80482
19142,80821
19546,80414
19206,80754
19609,80351
19287,80673
19661,80298
19322,80636
19691,80267
19355,80603
19705,80253
19358,80598
19705,80251
19361,80594
19708,80247
19361,80592
19706,80244
19361,80589
19706,80244
19359,80590
19702,80247
19357,80592
19696,80252
19357,80591
19696,80252
19357,80591
19696,80251
19356,80591
19696,80251
19356,80591
19696,80251
19357,80587
19691,80253
19354,80588
19688,80254
19346,80596
19686,80256
19345,80597
19686,80256
19345,80597
19685,80255
19343,80596
19664,80275
19305,80634
19606,80333
19232,80707
19543,80395
19160,80773
19472,80461
19123,80809
19434,80498
19071,80861
19376,80555
19015,80916
19324,80606
18964,80965
19285,80644
18924,81005
19254,80675
18881,81047
19190,80738
18836,81091
19139,80788
18769,81158
19088,80838
18726,81200
19068,80857
18713,81212
19061,80863
18703,81221
19055,80869
18700,81224
19055,80869
18700,81224
19055,80869
18700,81224
19055,80869
18700,81223
19054,80869
18700,81223
19054,80869
18700,81222
19053,80869
18700,81222
19054,80867
18701,81220
19057,80864
18706,81215
19057,80863
18705,81215
19057,80863
18705,81215
19057,80863
18705,81215
19056,80863
18704,81214
19055,80862
18704,81213
19055,80862
18704,81213
19055,80862
18704,81213
19055,80862
18708,81208
19063,80853
18714,81201
19064,80851
18714,81201
19064,80851
18714,81201
19064,80851
18714,81201
19064,80851
18714,81201
19064,80851
18714,81201
19064,80850
18713,81201
19064,80850
18713,81201
19064,80849
18720,81193
19068,80845
18730,81183
19074,80838
18737,81175
19081,80830
18741,81170
19082,80829
18743,81168
19085,80826
18743,81168
19085,80826
18743,81168
19084,80824
18742,81166
19084,80824
18742,81166
19084,80824
18742,81166
19084,80824
18742,81166
